Term,Sentiment,,,
降准,Positive,,,
降息,Positive,,,
MLF超额续作,Positive,,,
逆回购放量,Positive,,,
财政刺激,Positive,,,
专项债加速,Positive,,,
减税降费,Positive,,,
扩大内需,Positive,,,
家电下乡,Positive,,,
汽车下乡,Positive,,,
政策性开发工具,Positive,,,
基建投资加速,Positive,,,
以旧换新,Positive,,,
保障房建设,Positive,,,
城中村改造,Positive,,,
新基建,Positive,,,
稳增长,Positive,,,
放宽落户,Positive,,,
定向降准,Positive,,,
定向降息,Positive,,,
PSL投放,Positive,,,
货币宽松,Positive,,,
积极财政,Positive,,,
提高赤字率,Positive,,,
出口退税上调,Positive,,,
收储,Positive,,,
国储收购,Positive,,,
抛储,Negative,,,
定向抛储,Negative,,,
加息,Negative,,,
缩表,Negative,,,
提高存准率,Negative,,,
MLF缩量续作,Negative,,,
逆回购缩量,Negative,,,
窗口指导收紧,Negative,,,
金融去杠杆,Negative,,,
地产调控,Negative,,,
三道红线,Negative,,,
货币收紧,Negative,,,
紧缩财政,Negative,,,
环保限产,Positive,,,
限产加严,Positive,,,
供给侧改革,Positive,,,
产能出清,Positive,,,
淘汰落后产能,Positive,,,
安全检查,Positive,,,
检修季,Positive,,,
装置检修,Positive,,,
高炉检修,Positive,,,
矿难,Positive,,,
罢工,Positive,,,
极端天气,Positive,,,
干旱,Positive,,,
霜冻,Positive,,,
洪水,Positive,,,
台风,Positive,,,
飓风,Positive,,,
供应中断,Positive,,,
运输中断,Positive,,,
港口封锁,Positive,,,
产能投放,Negative,,,
新增产能,Negative,,,
新装置投产,Negative,,,
复产,Negative,,,
高炉复产,Negative,,,
供应过剩,Negative,,,
库存高企,Negative,,,
累库,Negative,,,
显性库存增加,Negative,,,
库存积压,Negative,,,
港口累库,Negative,,,
厂库累库,Negative,,,
社会库存增加,Negative,,,
库存压力,Negative,,,
库存拐点向上,Negative,,,
去库,Positive,,,
去库加速,Positive,,,
库存下降,Positive,,,
库存低位,Positive,,,
库存拐点向下,Positive,,,
厂库下降,Positive,,,
社会库存下降,Positive,,,
港口疏港,Positive,,,
开工率上升,Positive,,,
